Pong-v0,0.999,32,100000,50000,1.0,0.1,1000000,4,2500,0.0005
step,rew_mean,len_mean,episode_count
512000,-20.77,1100.37,1814
513000,-20.78,1100.29,1817
514000,-20.78,1100.07,1820
515000,-20.78,1102.63,1823
516000,-20.77,1100.19,1827
517000,-20.76,1099.25,1831
518000,-20.76,1098.01,1835
519000,-20.75,1097.14,1839
520000,-20.78,1092.1,1843
521000,-20.76,1095.26,1847
522000,-20.76,1096.71,1849
523000,-20.74,1097.54,1853
524000,-20.73,1096.98,1857
525000,-20.71,1099.74,1861
526000,-20.69,1102.55,1864
527000,-20.68,1103.99,1868
528000,-20.69,1100.09,1872
529000,-20.68,1099.73,1876
530000,-20.67,1099.14,1878
531000,-20.64,1099.67,1882
532000,-20.62,1101.6,1886
533000,-20.62,1101.51,1889
534000,-20.61,1099.54,1893
535000,-20.6,1100.98,1897
536000,-20.62,1098.86,1901
537000,-20.61,1098.25,1905
538000,-20.61,1095.26,1908
539000,-20.6,1099.37,1912
540000,-20.59,1098.6,1914
541000,-20.54,1104.96,1918
542000,-20.54,1105.46,1922
543000,-20.51,1110.42,1926
544000,-20.52,1112.61,1930
545000,-20.53,1112.3,1933
546000,-20.51,1118.11,1937
547000,-20.54,1114.77,1940
548000,-20.55,1115.43,1943
549000,-20.57,1111.9,1946
550000,-20.58,1110.42,1950
551000,-20.6,1106.22,1954
552000,-20.61,1104.08,1958
553000,-20.65,1099.22,1962
554000,-20.66,1097.39,1966
555000,-20.66,1098.32,1970
556000,-20.66,1100.63,1974
