Pong-v0,0.999,32,100000,50000,1.0,0.1,1000000,4,2500,5e-05
step,rew_mean,len_mean,episode_count
537000,-13.76,3719.18,955
538000,-13.74,3739.68,957
539000,-13.73,3749.17,958
540000,-13.72,3753.88,959
541000,-13.72,3753.88,959
542000,-13.69,3763.9,960
543000,-13.66,3776.5,961
544000,-13.66,3776.5,961
545000,-13.48,3809.35,963
546000,-13.42,3816.17,965
547000,-13.42,3816.17,965
548000,-13.42,3816.17,965
549000,-13.55,3795.08,967
550000,-13.55,3795.08,967
551000,-13.59,3789.4,968
552000,-13.49,3816.36,969
553000,-13.49,3816.36,969
554000,-13.46,3829.65,971
555000,-13.41,3833.51,972
556000,-13.41,3833.51,972
557000,-13.47,3819.92,974
558000,-13.47,3829.04,975
559000,-13.45,3829.05,976
560000,-13.45,3829.05,976
561000,-13.5,3830.38,978
562000,-13.5,3830.38,978
563000,-13.47,3836.62,980
564000,-13.47,3832.67,981
565000,-13.46,3840.48,982
566000,-13.42,3837.22,984
567000,-13.37,3832.0,985
568000,-13.37,3832.0,985
569000,-13.35,3828.05,986
570000,-13.28,3819.14,989
571000,-13.28,3819.14,989
572000,-13.28,3819.14,989
573000,-13.24,3826.29,990
574000,-13.11,3850.6,993
575000,-13.11,3850.6,993
576000,-13.11,3850.6,993
577000,-13.11,3850.6,993
578000,-13.11,3866.74,996
579000,-13.13,3878.74,997
580000,-13.13,3878.74,997
581000,-13.09,3876.29,999
582000,-13.16,3868.24,1000
583000,-13.2,3861.92,1001
584000,-13.28,3844.01,1003
585000,-13.28,3844.01,1003
586000,-13.25,3852.83,1004
587000,-13.21,3850.48,1007
588000,-13.21,3850.48,1007
589000,-13.21,3850.48,1007
590000,-13.28,3827.28,1010
591000,-13.29,3824.17,1011
592000,-13.29,3824.17,1011
593000,-13.29,3824.17,1011
594000,-13.22,3843.13,1014
595000,-13.22,3843.13,1014
596000,-13.19,3847.61,1015
597000,-13.19,3847.61,1015
598000,-13.15,3857.27,1017
599000,-13.14,3869.85,1018
600000,-13.15,3874.99,1019
601000,-13.16,3870.62,1020
602000,-13.21,3882.16,1022
603000,-13.21,3882.16,1022
604000,-13.23,3885.02,1023
